text,label
akhir-akhir ini saya sering merasa gelisah dan merasa kehilangan harapan,0
saya merasa kehilangan harapan sampai sulit untuk menjalani aktivitas,0
saya merasa terpuruk sampai sulit untuk menjalani hari,0
saya merasa emosional tidak stabil karena beban akademik,0
saya merasa hampa sampai sulit untuk fokus belajar,0
keadaan ini membuat saya pikiran tidak berhenti dan merasa kehilangan harapan,0
saya tidak bisa berpikir jernih karena beban mental yang berat,0
kondisi ini membuat saya tidak kuat lagi dan kehilangan motivasi total,0
setiap hari saya mudah menangis tanpa alasan dan tidak bisa mengontrol pikiran,0
saya tidak bisa merasakan kebahagiaan karena kondisi yang semakin memburuk,0
akhir-akhir ini saya sering merasa gelisah dan merasa frustrasi berat,0
pikiran saya perasaan yang tidak terkendali dan saya insomnia setiap malam,0
saya merasa tidak kuat lagi sampai sulit untuk fokus belajar,0
keadaan ini membuat saya kehilangan motivasi total dan merasa terpuruk,0
saya merasa down dan tidak mampu menghadapi konflik dengan teman,0
pikiran saya banyak masalah sekaligus dan saya kehilangan motivasi total,0
saya tidak bisa merasakan kebahagiaan karena banyak masalah sekaligus,0
saya merasa down sampai sulit untuk tidur dengan tenang,0
pikiran saya tekanan yang terus datang dan saya overthinking terus-menerus,0
keadaan ini membuat saya tidak bisa tidur sama sekali dan merasa hampa,0
saya benar-benar terpuruk dengan tugas yang menumpuk ini,0
setiap hari saya sering merasa gelisah dan tidak bisa tidur dengan tenang,0
saya tidak bisa fokus belajar karena tekanan yang terus datang,0
rasanya down menghadapi tekanan kuliah,0
kondisi ini membuat saya terpuruk dan insomnia setiap malam,0
saya sering merasa gelisah hampir setiap hari karena beban akademik,0
pikiran saya tekanan yang terus datang dan saya sulit berkonsentrasi,0
saya benar-benar terpuruk dengan tekanan kuliah ini,0
akhir-akhir ini saya pikiran tidak berhenti dan merasa down,0
saya mudah menangis tanpa alasan hampir setiap hari karena keadaan asrama,0
keadaan ini membuat saya pikiran tidak berhenti dan merasa down,0
pikiran saya kondisi yang semakin memburuk dan saya tidak punya energi,0
saya sering merasa gelisah hampir setiap hari karena kehidupan sehari-hari,0
kondisi ini membuat saya sangat tertekan dan pikiran tidak berhenti,0
saya merasa putus asa sampai sulit untuk mengontrol pikiran,0
rasanya terpuruk menghadapi kehidupan sehari-hari,0
saya benar-benar putus asa dengan keadaan asrama ini,0
kondisi ini membuat saya kehilangan harapan dan mudah menangis tanpa alasan,0
rasanya tidak kuat lagi menghadapi kehidupan sehari-hari,0
saya tidak bisa fokus belajar karena tekanan yang terus datang,0
pikiran saya perasaan yang tidak terkendali dan saya sering merasa gelisah,0
akhir-akhir ini saya tidak punya energi dan merasa sangat tertekan,0
saya merasa frustrasi berat sampai sulit untuk tidur dengan tenang,0
saya tidak bisa fokus belajar karena beban mental yang berat,0
saya tidak bisa tidur dengan tenang karena beban mental yang berat,0
keadaan ini membuat saya overthinking terus-menerus dan merasa putus asa,0
akhir-akhir ini saya merasa kosong sepanjang hari dan merasa sangat lelah secara mental,0
setiap hari saya tidak punya energi dan tidak bisa fokus belajar,0
rasanya sangat lelah secara mental menghadapi masalah pribadi,0
kondisi ini membuat saya sangat tertekan dan tidak bisa tidur sama sekali,0
pikiran saya tekanan yang terus datang dan saya pikiran tidak berhenti,0
saya merasa frustrasi berat karena tugas yang menumpuk,0
pikiran saya perasaan yang tidak terkendali dan saya kehilangan motivasi total,0
kondisi ini membuat saya putus asa dan merasa kosong sepanjang hari,0
kondisi ini membuat saya tidak kuat lagi dan tidak bisa tidur sama sekali,0
pikiran saya kondisi yang semakin memburuk dan saya kehilangan motivasi total,0
saya benar-benar sangat lelah secara mental dengan beban akademik ini,0
rasanya putus asa menghadapi lingkungan yang tidak nyaman,0
kondisi ini membuat saya down dan sering merasa gelisah,0
saya benar-benar down dengan masalah pribadi ini,0
saya benar-benar putus asa dengan beban akademik ini,0
kondisi ini membuat saya frustrasi berat dan overthinking terus-menerus,0
